A1BG:ENST00000263100
A1CF:ENST00000373995
A2M:ENST00000318602
A2ML1:ENST00000299698
A3GALT2:ENST00000442999
A4GALT:ENST00000401850
A4GNT:ENST00000236709
AAAS:ENST00000209873
AACS:ENST00000316519
AACSP1:ENST00000503486
AADAC:ENST00000232892
AADACL2:ENST00000356517
AADACL3:ENST00000359318
AADACL4:ENST00000376221
AADAT:ENST00000337664
AAED1:ENST00000375234
AAGAB:ENST00000261880
AAK1:ENST00000409085
AAMDC:ENST00000526415
AAMP:ENST00000248450
AANAT:ENST00000250615
AAR2:ENST00000373932
AARD:ENST00000378279
AARS2:ENST00000244571
AARS:ENST00000261772
AASDH:ENST00000205214
AASDHPPT:ENST00000278618
AASS:ENST00000393376
AATF:ENST00000225402
AATK:ENST00000326724
ABAT:ENST00000396600
ABC7-42389800N19.1:ENST00000400706
ABCA10:ENST00000269081
ABCA11P:ENST00000451020
ABCA12:ENST00000272895
ABCA13:ENST00000435803
ABCA17P:ENST00000469908
ABCA1:ENST00000374736
ABCA2:ENST00000341511
ABCA3:ENST00000301732
ABCA4:ENST00000370225
ABCA5:ENST00000392676
ABCA6:ENST00000284425
ABCA7:ENST00000263094
ABCA8:ENST00000269080
ABCA9:ENST00000340001
ABCB10:ENST00000344517
ABCB11:ENST00000263817
ABCB1:ENST00000265724
ABCB4:ENST00000265723
ABCB5:ENST00000404938
ABCB6:ENST00000265316
ABCB7:ENST00000253577
ABCB8:ENST00000358849
ABCB9:ENST00000542678
ABCC10:ENST00000372530
ABCC11:ENST00000394747
ABCC12:ENST00000311303
ABCC13:ENST00000482980
ABCC1:ENST00000399410
ABCC2:ENST00000370449
ABCC3:ENST00000285238
ABCC4:ENST00000376887
ABCC5:ENST00000334444
ABCC6:ENST00000205557
ABCC6P1:ENST00000546162
ABCC6P2:ENST00000542005
ABCC8:ENST00000389817
ABCC9:ENST00000261200
ABCD1:ENST00000218104
ABCD2:ENST00000308666
ABCD3:ENST00000370214
ABCD4:ENST00000356924
ABCE1:ENST00000296577
ABCF1:ENST00000326195
ABCF2:ENST00000222388
ABCF3:ENST00000429586
ABCG1:ENST00000361802
ABCG2:ENST00000237612
ABCG4:ENST00000307417
ABCG5:ENST00000260645
ABCG8:ENST00000272286
ABHD10:ENST00000273359
ABHD11:ENST00000222800
ABHD12:ENST00000376542
ABHD12B:ENST00000337334
ABHD13:ENST00000375898
ABHD14A-ACY1:ENST00000463937
ABHD14A:ENST00000273596
ABHD14B:ENST00000483233
ABHD15:ENST00000307201
ABHD16A:ENST00000395952
ABHD17A:ENST00000250974
ABHD17AP4:ENST00000411545
ABHD17AP6:ENST00000458502
ABHD17B:ENST00000377041
ABHD17C:ENST00000258884
ABHD1:ENST00000316470
ABHD2:ENST00000352732
ABHD3:ENST00000289119
ABHD4:ENST00000428304
ABHD5:ENST00000458276
ABHD6:ENST00000478253
ABHD8:ENST00000247706
ABI1:ENST00000376142
ABI2:ENST00000261017
ABI3:ENST00000225941
ABI3BP:ENST00000284322
ABL1:ENST00000318560
ABL2:ENST00000502732
ABLIM1:ENST00000277895
ABLIM1:ENST00000369252
ABLIM2:ENST00000447017
ABLIM3:ENST00000506113
ABR:ENST00000302538
ABRA:ENST00000311955
ABRACL:ENST00000367660
ABT1:ENST00000274849
ABTB1:ENST00000232744
ABTB2:ENST00000435224
AC002456.2:ENST00000441971
AC002472.13:ENST00000342608
AC002472.1:ENST00000547793
AC003958.2:ENST00000432258
AC004381.6:ENST00000261377
AC005013.5:ENST00000436594
AC005307.3:ENST00000592347
AC005358.1:ENST00000609971
AC006024.4:ENST00000428251
AC007040.11:ENST00000606025
AC007040.8:ENST00000434990
AC007161.5:ENST00000418534
AC007383.4:ENST00000453039
AC008132.13:ENST00000342005
AC008268.2:ENST00000444924
AC009120.6:ENST00000561921
AC009120.6:ENST00000565313
AC009499.1:ENST00000366209
AC010441.1:ENST00000600109
AC010731.4:ENST00000543490
AC011718.3:ENST00000413504
AC011997.1:ENST00000409845
AC012322.1:ENST00000561657
AC012501.2:ENST00000424322
AC016629.3:ENST00000596427
AC016757.3:ENST00000409070
AC016831.7:ENST00000447430
AC016995.3:ENST00000417039
AC017035.2:ENST00000411999
